Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent
2017,Citywide,New York City, New York City,1,Adults Who Binge Drink,"1,126,000",17.4,,
2017,Borough,Bronx, Bronx,1,Adults Who Binge Drink,"145,000",14,,
2017,Borough,Brooklyn, Brooklyn,2,Adults Who Binge Drink,"307,000",15.7,,
2017,Borough,Manhattan, Manhattan,3,Adults Who Binge Drink,"340,000",25.6,,
2017,Borough,Queens, Queens,4,Adults Who Binge Drink,"271,000",15.1,,
2017,Borough,Staten Island, Staten Island,5,Adults Who Binge Drink,"62,000",17.1,,
2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Adults Who Binge Drink,"18,000",11.7,,
2017,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Adults Who Binge Drink,"40,000",16.6,,
2017,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Adults Who Binge Drink,"26,000",15.4,,
2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Adults Who Binge Drink,"23,000",9.5,,
2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Adults Who Binge Drink,"11,000",7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Adults Who Binge Drink,"33,000",27.1,,
2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Adults Who Binge Drink,"69,000",33.9,,
2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Adults Who Binge Drink,"28,000",11.8,,
2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Adults Who Binge Drink,"48,000",26.6,,
2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Adults Who Binge Drink,"36,000",15.2,,
2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Adults Who Binge Drink,"16,000",19.1,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Adults Who Binge Drink,"18,000",13.9,,
2017,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Adults Who Binge Drink,"27,000",12.3,,
2017,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Adults Who Binge Drink,"33,000",17.7,,
2017,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Adults Who Binge Drink,"23,000",22.6,,
2017,Neighborhood (UHF 34),Queens, Jamaica,408,Adults Who Binge Drink,"32,000",14.1,,
2017,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Adults Who Binge Drink,"13,000",18.1,,
2017,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Adults Who Binge Drink,"36,000",20.9,,
2017,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Adults Who Binge Drink,"16,000",10.9,,
2017,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Adults Who Binge Drink,"29,000",20.3,,
2017,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Adults Who Binge Drink,"27,000",11.4,,
2017,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Adults Who Binge Drink,"31,000",15.1,,
2017,Neighborhood (UHF 34),Queens, Rockaways,410,Adults Who Binge Drink,"19,000",23.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Adults Who Binge Drink,"57,000",14.5,,
2017,Neighborhood (UHF 34),Queens, Southeast Queens,409,Adults Who Binge Drink,"15,000",9.7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Adults Who Binge Drink,"32,000",14.8,,
2017,Neighborhood (UHF 34),Queens, Southwest Queens,407,Adults Who Binge Drink,"40,000",18.9,,
2017,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Adults Who Binge Drink,"15,000",15.5,,
2017,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Adults Who Binge Drink,"70,000",32.7,,
2017,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Adults Who Binge Drink,"69,000",22.2,,
2017,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Adults Who Binge Drink,"43,000",23.3,,
2017,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Adults Who Binge Drink,"39,000",19.2,,
2017,Neighborhood (UHF 34),Queens, West Queens,402,Adults Who Binge Drink,"54,000",14.4,,
2017,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Adults Who Binge Drink,"38,000",23.8,,
