Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent
2017,Citywide,New York City, New York City,1,Cigarette Smoking among Adults,"886,000",13.5,,
2017,Borough,Bronx, Bronx,1,Cigarette Smoking among Adults,"145,000",13.7,,
2017,Borough,Brooklyn, Brooklyn,2,Cigarette Smoking among Adults,"270,000",13.7,,
2017,Borough,Manhattan, Manhattan,3,Cigarette Smoking among Adults,"161,000",12,,
2017,Borough,Queens, Queens,4,Cigarette Smoking among Adults,"224,000",12.4,,
2017,Borough,Staten Island, Staten Island,5,Cigarette Smoking among Adults,"86,000",23.6,,
2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Cigarette Smoking among Adults,"17,000",11.2,,
2017,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Cigarette Smoking among Adults,"46,000",18.9,,
2017,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Cigarette Smoking among Adults,"20,000",11.7,,
2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Cigarette Smoking among Adults,"24,000",9.8,,
2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Cigarette Smoking among Adults,"16,000",10.6,,
2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Cigarette Smoking among Adults,"21,000",17.2,,
2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Cigarette Smoking among Adults,"23,000",11.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Cigarette Smoking among Adults,"37,000",15.6,,
2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Cigarette Smoking among Adults,"21,000",11.8,,
2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Cigarette Smoking among Adults,"25,000",10.4,,
2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Cigarette Smoking among Adults,"15,000",18.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Cigarette Smoking among Adults,"23,000",17.1,,
2017,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Cigarette Smoking among Adults,"41,000",18.4,,
2017,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Cigarette Smoking among Adults,"21,000",11,,
2017,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Cigarette Smoking among Adults,"12,000",11.5,,
2017,Neighborhood (UHF 34),Queens, Jamaica,408,Cigarette Smoking among Adults,"25,000",11.4,,
2017,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Cigarette Smoking among Adults,"10,000",14,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Cigarette Smoking among Adults,"25,000",13.7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Cigarette Smoking among Adults,"15,000",10.5,,
2017,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Cigarette Smoking among Adults,"28,000",19.2,,
2017,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Cigarette Smoking among Adults,"38,000",16,,
2017,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Cigarette Smoking among Adults,"23,000",11.1,,
2017,Neighborhood (UHF 34),Queens, Rockaways,410,Cigarette Smoking among Adults,"14,000",17.5,,
2017,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Cigarette Smoking among Adults,"57,000",14.2,,
2017,Neighborhood (UHF 34),Queens, Southeast Queens,409,Cigarette Smoking among Adults,"10,000",6.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.
2017,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Cigarette Smoking among Adults,"57,000",26.3,,
2017,Neighborhood (UHF 34),Queens, Southwest Queens,407,Cigarette Smoking among Adults,"27,000",13.1,,
2017,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Cigarette Smoking among Adults,"16,000",15.7,,
2017,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Cigarette Smoking among Adults,"27,000",12.8,,
2017,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Cigarette Smoking among Adults,"25,000",7.9,,
2017,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Cigarette Smoking among Adults,"24,000",12.8,,
2017,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Cigarette Smoking among Adults,"25,000",12,,
2017,Neighborhood (UHF 34),Queens, West Queens,402,Cigarette Smoking among Adults,"41,000",10.9,,
2017,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Cigarette Smoking among Adults,"30,000",18.6,,
