Borough,Geography,Number,Percent
New York City, New York City,"1,081,311",51.1
Bronx, Bronx,"229,332",57.7
Brooklyn, Brooklyn,"345,191",52.2
Manhattan, Manhattan,"254,581",44.2
Queens, Queens,"226,873",52.5
Staten Island, Staten Island,"25,334",50
Queens, Bayside - Little Neck,"4,757",47.7
Brooklyn, Bedford Stuyvesant - Crown Heights,"56,504",53.4
Brooklyn, Bensonhurst - Bay Ridge,"22,582",49.1
Brooklyn, Borough Park,"43,348",60.5
Brooklyn, Canarsie - Flatlands,"16,776",50
Manhattan, Central Harlem - Morningside Heights,"29,193",46.7
Manhattan, Chelsea - Clinton,"26,635",40.6
Brooklyn, Coney Island - Sheepshead Bay,"37,473",56.2
Bronx, Crotona -Tremont,"42,887",63.8
Brooklyn, Downtown - Heights - Slope,"25,925",37.7
Brooklyn, East Flatbush - Flatbush,"43,111",53.8
Manhattan, East Harlem,"20,330",47.9
Brooklyn, East New York,"26,132",54.5
Queens, Flushing - Clearview,"26,545",56.7
Bronx, Fordham - Bronx Pk,"49,268",60.8
Queens, Fresh Meadows,"9,632",56.2
Manhattan, Gramercy Park - Murray Hill,"19,314",41.6
Brooklyn, Greenpoint,"21,838",47
Manhattan, Greenwich Village - SoHo,"12,402",39.3
Bronx, High Bridge - Morrisania,"40,876",58.6
Bronx, Hunts Point - Mott Haven,"25,271",58.5
Queens, Jamaica,"26,860",54.6
Bronx, Kingsbridge - Riverdale,"11,892",50.1
Queens, Long Island City - Astoria,"33,235",45.6
Manhattan, Lower Manhattan,"7,475",35.9
Bronx, Northeast Bronx,"20,379",51.5
Bronx, Pelham - Throgs Neck,"40,859",53.4
Staten Island, Port Richmond,"5,182",56
Queens, Ridgewood - Forest Hills,"26,789",46.7
Queens, Rockaways,"13,323",51.6
Staten Island, South Beach - Tottenville,"6,408",47
Queens, Southeast Queens,"9,873",47.3
Queens, Southwest Queens,"20,072",53.7
Staten Island, Stapleton - St. George,"10,011",51
Brooklyn, Sunset Park,"16,335",58.3
Manhattan, Union Square - Lower East Side,"34,282",46
Manhattan, Upper East Side,"30,339",41.1
Manhattan, Upper West Side,"27,951",40.5
Manhattan, Washington Heights,"44,560",52
Queens, West Queens,"56,852",58.4
Brooklyn, Williamsburg - Bushwick,"35,167",53.5
Staten Island, Willowbrook,"3,733",45.5
