UHF Label,"United Hospital Fund (UHF 42) neighborhood, 2009",Borough,"Total population, 2010","Census population, 2010","Number of people in state prison from NYC UHF neighborhood, 2010","Imprisonment rate per 100,000"
101,Kingsbridge - Riverdale,Bronx,94095,93963,132,140
102,Northeast Bronx,Bronx,190315,189802,513,270
103,Fordham - Bronx Pk,Bronx,250249,249309,940,376
104,Pelham - Throgs Neck,Bronx,297059,296199,860,290
105,Crotona-Tremont,Bronx,206630,205516,1114,539
106,High Bridge - Morrisania,Bronx,210845,209634,1211,574
107,Hunts Point - Mott Haven,Bronx,137197,136385,812,592
201,Greenpoint,Brooklyn,126614,126392,222,175
202,Downtown-Heights -Slope,Brooklyn,227057,226426,631,278
203,Bedford Stuyvesant - Crown Heights,Brooklyn,316269,313949,2320,734
204,East New York,Brooklyn,191151,189872,1279,669
205,Sunset Park,Brooklyn,127352,127138,214,168
206,Borough Park,Brooklyn,322563,322315,248,77
207,East Flatbush - Flatbush,Brooklyn,309120,308108,1012,327
208,Canarsie-Flatlands,Brooklyn,191734,191373,361,188
209,Bensonhurst - Bay Ridge,Brooklyn,201541,201391,150,74
210,Coney Island-Sheepshead Bay,Brooklyn,285275,284816,459,161
211,Williamsburg - Bushwick,Brooklyn,214590,213142,1448,675
301,Washington Heights-Inwood,Manhattan,250158,249082,1076,430
302,Central Harlem - Morningside Heights,Manhattan,162238,160865,1373,846
303,East Harlem,Manhattan,113291,112387,904,798
304,Upper West Side,Manhattan,224274,223948,326,145
305,Upper East Side,Manhattan,219000,218900,100,46
306,Chelsea-Clinton,Manhattan,143506,143290,216,151
307,Gramercy Park-Murray Hill ,Manhattan,133688,133552,136,102
308,Greenwich Village - Soho,Manhattan,83664,83589,75,90
309,Union Square - Lower East Side,Manhattan,199170,198613,557,280
310,Lower Manhattan,Manhattan,53215,53157,58,109
401,Long Island City - Astoria,Queens,203963,203663,300,147
402,West Queens,Queens,482454,481912,542,112
403,Flushing - Clearview,Queens,260468,260265,203,78
404,Bayside - Little Neck,Queens,87423,87385,38,43
405,Ridgewood - Forest Hills,Queens,246245,246045,200,81
406,Fresh Meadows,Queens,95537,95469,68,71
407,Southwest Queens,Queens,265900,265547,353,133
408,Jamaica,Queens,292571,291603,968,331
409,Southeast Queens,Queens,195005,194642,363,186
410,Rockaways,Queens,115428,114978,450,390
501,Port Richmond,Staten Island,70403,70181,222,315
502,Stapleton - St. George,Staten Island,124270,123925,345,278
503,Willowbrook,Staten Island,86010,85941,69,80
504,South Beach - Tottenville,Staten Island,188810,188683,127,67
